id,aircraft_registration_number,aircraft_type,flight_number,departure_airport,departure_datetime,arrival_airport,arrival_datetime
861,RW-WWP,320,I968,HEL,2024-01-28 12:13:27,AMS,2024-01-28 15:26:27
862,UD-SKD,787,H651,CDG,2023-07-07 13:28:27,LHR,2023-07-07 18:07:27
863,DK-GOY,350,K513,HEL,2023-04-11 11:36:27,SFO,2023-04-11 14:13:27
864,MH-ISM,787,W815,AMS,2023-06-23 13:35:27,CDG,2023-06-23 15:40:27
865,TQ-RTW,350,R795,HND,2023-12-27 12:44:27,FRA,2023-12-27 20:28:27
866,KK-FTP,350,H136,OUL,2023-09-09 21:41:27,SFO,2023-09-10 08:08:27
867,XH-VXF,787,Y478,CDG,2023-10-27 20:50:27,HND,2023-10-28 04:00:27
868,WO-FLO,350,W544,AMS,2023-05-10 13:14:27,HND,2023-05-10 16:07:27
869,UO-HYC,320,D989,LHR,2023-10-24 19:01:27,FRA,2023-10-25 00:31:27
870,NW-OFP,350,O709,SFO,2023-03-08 01:13:27,OUL,2023-03-08 04:24:27
871,CP-DRD,350,R703,SFO,2023-06-11 14:42:27,LHR,2023-06-11 17:37:27
872,GF-GLV,320,Q457,LHR,2023-11-28 16:51:27,DXB,2023-11-29 04:08:27
873,LI-DIQ,787,B992,OUL,2023-04-14 05:26:27,HND,2023-04-14 15:46:27
874,ES-LCN,787,W676,FRA,2023-05-07 00:31:27,DXB,2023-05-07 09:24:27
875,EM-IJH,320,V666,FRA,2023-12-04 20:30:27,OUL,2023-12-05 02:12:27
876,AW-JYS,787,P215,FRA,2023-03-17 08:07:27,OUL,2023-03-17 09:08:27
877,US-ZPN,787,Z583,HND,2023-03-03 17:45:27,LHR,2023-03-03 23:00:27
878,OB-PAE,320,O120,CDG,2024-02-02 00:02:27,SFO,2024-02-02 10:38:27
879,SD-YFE,320,P654,SFO,2023-05-05 21:57:27,HND,2023-05-06 04:55:27
880,BO-EFE,787,J438,JFK,2023-08-11 15:41:27,OUL,2023-08-11 18:23:27
881,JA-IAJ,320,P957,HEL,2023-05-10 02:51:27,AMS,2023-05-10 06:03:27
882,EY-AFJ,787,C189,SFO,2023-10-20 11:32:27,AMS,2023-10-20 21:36:27
883,ER-BIT,320,L950,SFO,2023-07-31 09:35:27,FRA,2023-07-31 13:28:27
884,WV-FPS,787,D575,DXB,2023-06-09 05:40:27,HEL,2023-06-09 11:32:27
885,HA-ZNR,787,A284,DXB,2023-08-06 12:48:27,LHR,2023-08-07 01:30:27
886,LI-DXV,787,N212,JFK,2023-10-01 09:49:27,SFO,2023-10-01 19:54:27
887,DS-BTR,320,J596,HND,2024-01-02 19:33:27,LHR,2024-01-03 05:39:27
888,RT-EDN,787,O401,LHR,2023-06-21 07:40:27,SFO,2023-06-21 15:49:27
889,RO-IVA,787,W263,JFK,2023-05-23 08:55:27,CDG,2023-05-23 14:34:27
890,WZ-WEZ,350,F920,AMS,2023-12-03 23:48:27,FRA,2023-12-04 06:35:27
891,KV-FIK,350,H944,HND,2024-02-21 03:09:27,OUL,2024-02-21 09:57:27
892,BY-UAW,350,Z324,AMS,2023-10-20 13:08:27,CDG,2023-10-21 00:11:27
893,GW-DED,350,K817,JFK,2023-12-25 21:20:27,DXB,2023-12-25 22:41:27
894,EX-VTI,320,U348,FRA,2023-06-22 06:53:27,CDG,2023-06-22 13:15:27
895,GW-LKK,320,C300,FRA,2023-05-05 07:17:27,SFO,2023-05-05 13:35:27
896,SH-IQI,787,D338,DXB,2023-03-26 16:59:27,FRA,2023-03-27 05:48:27
897,EP-BAA,787,Z817,SFO,2023-07-26 03:35:27,FRA,2023-07-26 08:09:27
898,HV-MBD,350,S957,SFO,2023-10-20 02:10:27,AMS,2023-10-20 05:58:27
899,NE-KRC,787,C984,HND,2023-08-03 22:17:27,JFK,2023-08-04 11:41:27
900,TB-NHV,320,W462,SFO,2023-04-15 04:01:27,CDG,2023-04-15 06:33:27
901,BX-HMG,320,W763,DXB,2023-12-11 11:39:27,HND,2023-12-11 13:27:27
902,JR-KQT,350,B735,FRA,2023-04-06 09:37:27,HEL,2023-04-06 23:14:27
903,SW-ZOO,350,P400,FRA,2023-03-04 04:13:27,OUL,2023-03-04 15:09:27
904,EZ-QPG,787,U577,AMS,2024-01-30 02:49:27,SFO,2024-01-30 12:54:27
905,AZ-UHK,320,L386,HEL,2023-10-06 05:42:27,AMS,2023-10-06 14:31:27
906,BV-QDD,787,N417,OUL,2023-03-08 09:43:27,JFK,2023-03-08 12:05:27
907,PM-XLS,350,K774,CDG,2023-03-08 13:39:27,OUL,2023-03-08 16:53:27
908,HH-YUB,350,R226,FRA,2023-11-20 09:41:27,AMS,2023-11-20 21:56:27
909,NG-SGW,320,P690,CDG,2024-01-27 12:07:27,AMS,2024-01-27 18:32:27
910,WH-UJV,320,A875,JFK,2023-11-05 19:39:27,HND,2023-11-06 01:47:27
911,TC-HYQ,350,V354,HND,2023-08-29 18:24:27,FRA,2023-08-29 22:49:27
912,TW-GCH,787,R975,DXB,2023-02-27 12:08:27,OUL,2023-02-28 01:48:27
913,FE-AHS,350,P110,JFK,2023-03-05 02:30:27,HND,2023-03-05 10:53:27
914,BY-ZAG,350,D727,OUL,2023-10-20 21:16:27,HEL,2023-10-21 05:03:27
915,RF-MOA,350,V986,HND,2023-08-29 04:22:27,SFO,2023-08-29 09:10:27
916,CA-ZWY,320,Y891,AMS,2023-03-22 15:24:27,FRA,2023-03-22 22:37:27
917,QV-XPN,320,S698,AMS,2024-02-18 13:46:27,DXB,2024-02-19 02:39:27
918,AT-IHS,320,O519,CDG,2023-10-15 21:10:27,HND,2023-10-15 23:26:27
919,ID-QAA,350,Z266,SFO,2024-02-11 13:08:27,HND,2024-02-12 00:14:27
920,SV-ZMJ,320,I100,LHR,2023-11-24 12:45:27,HEL,2023-11-24 22:22:27
921,AL-ZGP,320,L258,OUL,2023-07-19 05:59:27,DXB,2023-07-19 15:32:27
922,LG-WJZ,320,R860,FRA,2023-07-02 21:10:27,JFK,2023-07-03 06:30:27
923,SC-XIK,787,D626,SFO,2024-01-01 18:42:27,HND,2024-01-02 00:40:27
924,QS-LGW,320,C729,HEL,2023-12-28 23:33:27,FRA,2023-12-29 06:51:27
925,ZK-JOU,350,L405,SFO,2023-06-30 13:08:27,LHR,2023-06-30 22:07:27
926,VV-XTH,787,O811,JFK,2023-12-02 19:31:27,CDG,2023-12-03 03:28:27
927,YG-IUN,320,V354,HEL,2023-11-17 20:07:27,SFO,2023-11-17 23:15:27
928,OL-QOE,350,R929,CDG,2023-03-22 00:29:27,SFO,2023-03-22 12:52:27
929,SU-DVQ,787,Q447,HEL,2023-12-31 23:43:27,CDG,2024-01-01 03:42:27
930,TM-LYG,320,T152,FRA,2023-03-29 03:51:27,DXB,2023-03-29 06:23:27
931,IN-LIR,350,I243,LHR,2023-10-28 21:17:27,JFK,2023-10-29 03:07:27
932,EN-XPZ,350,G649,SFO,2023-05-14 00:54:27,OUL,2023-05-14 11:26:27
933,TE-PQR,787,M507,HEL,2023-09-08 08:03:27,DXB,2023-09-08 14:42:27
934,UL-FGB,320,C362,AMS,2023-03-31 09:25:27,HEL,2023-03-31 12:28:27
935,AC-ZJX,787,R698,CDG,2024-01-08 17:43:27,LHR,2024-01-09 07:32:27
936,JT-NEA,787,G466,DXB,2023-10-13 08:52:27,SFO,2023-10-13 14:14:27
937,SV-NOS,350,D966,OUL,2024-02-08 22:43:27,SFO,2024-02-09 03:45:27
938,TU-IKB,350,Z995,OUL,2023-07-06 15:30:27,JFK,2023-07-07 03:28:27
939,ZW-QZD,320,K775,FRA,2023-10-15 23:22:27,AMS,2023-10-16 11:34:27
940,AI-BMV,787,B922,JFK,2023-03-28 00:13:27,LHR,2023-03-28 13:42:27
941,ON-QDG,350,K377,DXB,2023-09-10 19:55:27,HND,2023-09-11 08:34:27
942,KW-AOX,350,I653,SFO,2024-01-10 00:12:27,LHR,2024-01-10 04:50:27
943,JU-UKY,320,K396,AMS,2023-12-06 05:11:27,JFK,2023-12-06 15:32:27
944,FR-RFT,787,U706,OUL,2023-10-12 08:46:27,DXB,2023-10-12 18:01:27
945,BA-YMO,350,W466,DXB,2024-02-05 07:53:27,JFK,2024-02-05 12:12:27
946,QN-QIK,787,C898,FRA,2023-10-13 16:07:27,AMS,2023-10-14 02:09:27
947,MR-LBY,787,C631,HEL,2023-04-19 05:34:27,CDG,2023-04-19 14:20:27
948,UJ-QCM,350,H336,DXB,2023-04-17 14:46:27,SFO,2023-04-18 01:27:27
949,XZ-OFA,787,G845,CDG,2023-07-19 11:26:27,FRA,2023-07-19 19:38:27
950,AO-HYK,787,Z665,HND,2023-06-18 12:11:27,LHR,2023-06-18 16:07:27
951,VN-BZV,320,Z970,OUL,2023-07-05 13:19:27,SFO,2023-07-06 02:32:27
952,JQ-QBB,787,S411,JFK,2023-08-31 13:50:27,AMS,2023-09-01 01:25:27
953,DW-ACP,320,L302,DXB,2023-07-15 08:07:27,OUL,2023-07-15 09:35:27
954,ZB-TDJ,350,V251,DXB,2023-08-30 04:16:27,JFK,2023-08-30 13:59:27
955,WS-XUL,787,Y676,JFK,2023-04-08 06:28:27,CDG,2023-04-08 08:16:27
956,MV-TKF,787,U252,AMS,2023-06-16 14:58:27,HND,2023-06-16 16:33:27
957,UW-CWM,787,S736,HEL,2023-10-28 04:28:27,JFK,2023-10-28 11:06:27
958,OQ-JZZ,787,E714,AMS,2023-06-01 16:31:27,DXB,2023-06-01 19:05:27
959,FV-SIS,787,J319,HND,2023-09-03 02:21:27,DXB,2023-09-03 11:52:27
960,HU-CWV,350,L278,LHR,2023-07-17 19:15:27,HND,2023-07-17 22:45:27
961,UW-QWZ,350,W676,AMS,2023-12-07 21:39:27,DXB,2023-12-08 01:09:27
962,LZ-EXK,787,M504,FRA,2023-07-01 01:59:27,CDG,2023-07-01 03:53:27
963,DN-CLP,320,V627,SFO,2023-08-04 18:56:27,FRA,2023-08-05 08:31:27
964,BJ-OSZ,350,S828,DXB,2024-01-17 19:03:27,JFK,2024-01-18 06:50:27
965,BY-ENR,350,Z279,CDG,2023-11-01 19:04:27,DXB,2023-11-01 22:46:27
966,MH-PIV,320,K295,LHR,2023-09-02 00:02:27,AMS,2023-09-02 09:54:27
967,RS-QNJ,787,G606,OUL,2023-05-01 13:37:27,HND,2023-05-01 20:06:27
968,FM-UMG,350,Y967,SFO,2023-12-24 23:57:27,JFK,2023-12-25 12:47:27
969,OA-WWT,787,W490,CDG,2023-10-07 01:03:27,HEL,2023-10-07 14:02:27
970,NS-AZJ,350,O457,DXB,2023-08-07 21:30:27,CDG,2023-08-08 02:06:27
971,VC-FPW,787,F306,DXB,2023-04-20 19:44:27,CDG,2023-04-21 06:35:27
972,NJ-HXR,350,R810,OUL,2023-08-28 16:45:27,HND,2023-08-29 00:51:27
973,HM-BRT,320,D295,LHR,2023-07-22 18:07:27,DXB,2023-07-22 20:44:27
974,WK-VAX,787,K111,AMS,2023-03-23 11:51:27,DXB,2023-03-23 21:12:27
975,RE-OPE,350,W707,HND,2024-01-16 02:53:27,CDG,2024-01-16 11:04:27
1000,C-RIB,320,AY123,HEL,2023-05-08 14:00:00,AMS,2023-05-08 17:30:00
976,IM-NCS,350,R812,LHR,2023-05-16 14:29:27,HND,2023-05-17 02:20:27
977,UH-CVM,320,B538,SFO,2023-12-21 16:19:27,OUL,2023-12-22 01:13:27
978,AP-REG,787,M783,OUL,2023-05-13 14:56:27,LHR,2023-05-13 18:19:27
979,AR-JUA,320,T221,JFK,2023-11-27 18:43:27,FRA,2023-11-27 20:54:27
980,BB-PSL,320,P618,CDG,2023-11-09 01:33:27,HEL,2023-11-09 15:13:27
981,WA-TXX,350,Q646,LHR,2023-03-15 00:54:27,OUL,2023-03-15 08:56:27
982,LA-SHM,320,L294,DXB,2023-12-07 22:11:27,FRA,2023-12-08 11:01:27
983,VZ-GQY,350,A971,CDG,2023-09-18 00:44:27,HEL,2023-09-18 14:20:27
984,KH-FZL,350,T416,HEL,2023-07-12 09:39:27,CDG,2023-07-12 11:27:27
985,MJ-SOP,787,S235,FRA,2023-12-30 03:52:27,HEL,2023-12-30 17:48:27
986,VK-SIT,320,L448,FRA,2023-09-13 23:41:27,HEL,2023-09-14 03:16:27
987,IJ-IKS,320,U140,CDG,2023-11-16 13:15:27,DXB,2023-11-16 18:17:27
988,NF-JGA,320,E473,LHR,2023-02-27 02:52:27,HND,2023-02-27 10:04:27
989,SK-OTO,320,L898,DXB,2023-04-27 12:43:27,FRA,2023-04-27 17:17:27
990,OW-KDV,350,T418,CDG,2023-11-20 01:48:27,HND,2023-11-20 14:32:27
991,HX-NVI,320,Y438,LHR,2023-10-21 07:31:27,CDG,2023-10-21 18:22:27
992,FG-XIQ,787,U260,LHR,2023-10-02 21:56:27,CDG,2023-10-03 01:53:27
993,IY-ZEQ,350,V102,LHR,2023-02-27 21:17:27,AMS,2023-02-28 05:42:27
